PassengerId,Survived
892,0
893,0
894,0
895,1
896,1
897,0
898,1
899,0
900,0
901,0
902,1
903,1
904,1
905,1
906,1
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,1
915,1
916,1
917,1
918,0
919,0
920,0
921,0
922,0
923,1
924,0
925,1
926,0
927,1
928,1
929,1
930,1
931,0
932,1
933,0
934,0
935,0
936,0
937,1
938,0
939,1
940,0
941,0
942,1
943,1
944,0
945,1
946,1
947,0
948,0
949,0
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,1
961,1
962,1
963,1
964,0
965,0
966,0
967,0
968,0
969,1
970,0
971,1
972,1
973,1
974,1
975,1
976,1
977,0
978,1
979,0
980,0
981,1
982,0
983,1
984,1
985,1
986,0
987,1
988,1
989,0
990,1
991,1
992,0
993,1
994,0
995,0
996,1
997,1
998,0
999,1
1000,1
1001,1
1002,0
1003,1
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,1
1017,1
1018,0
1019,1
1020,0
1021,0
1022,0
1023,0
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,0
1031,1
1032,1
1033,0
1034,1
1035,0
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,1
1046,1
1047,0
1048,0
1049,0
1050,0
1051,0
1052,1
1053,0
1054,1
1055,1
1056,0
1057,1
1058,1
1059,1
1060,0
1061,0
1062,1
1063,1
1064,0
1065,0
1066,0
1067,1
1068,1
1069,0
1070,1
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,1
1091,0
1092,1
1093,1
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,1
1102,0
1103,0
1104,1
1105,0
1106,0
1107,1
1108,1
1109,1
1110,0
1111,0
1112,0
1113,0
1114,1
1115,0
1116,1
1117,0
1118,0
1119,0
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,0
1138,0
1139,1
1140,0
1141,0
1142,0
1143,1
1144,1
1145,0
1146,1
1147,0
1148,0
1149,1
1150,1
1151,0
1152,0
1153,1
1154,0
1155,0
1156,1
1157,1
1158,1
1159,1
1160,0
1161,0
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,0
1169,1
1170,0
1171,0
1172,0
1173,0
1174,0
1175,1
1176,1
1177,1
1178,1
1179,0
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,0
1188,0
1189,0
1190,0
1191,1
1192,0
1193,0
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,0
1201,1
1202,0
1203,1
1204,1
1205,0
1206,1
1207,0
1208,0
1209,1
1210,0
1211,0
1212,1
1213,1
1214,1
1215,0
1216,1
1217,1
1218,0
1219,1
1220,1
1221,1
1222,0
1223,0
1224,1
1225,0
1226,0
1227,0
1228,1
1229,1
1230,1
1231,1
1232,0
1233,1
1234,0
1235,0
1236,0
1237,0
1238,0
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,1
1248,0
1249,1
1250,1
1251,0
1252,1
1253,1
1254,1
1255,0
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,1
1263,0
1264,1
1265,0
1266,1
1267,1
1268,0
1269,1
1270,0
1271,0
1272,1
1273,0
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,0
1281,1
1282,1
1283,1
1284,0
1285,0
1286,0
1287,1
1288,0
1289,0
1290,1
1291,0
1292,0
1293,1
1294,0
1295,0
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,0
1303,1
1304,0
1305,0
1306,1
1307,0
1308,0
1309,0
